id,time,gesture_id,gesture_name,s1,s2,s3,s4,s5,s6,s7,s8,s1_norm,s2_norm,s3_norm,s4_norm,s5_norm,s6_norm,s7_norm,s8_norm,quat_w,quat_x,quat_y,quat_z,Pose_L_Shoulder_x_shldr_norm,Pose_L_Shoulder_y_shldr_norm,Pose_L_Shoulder_z_shldr_norm,Pose_L_Shoulder_vis_shldr_norm,Pose_L_Elbow_x_shldr_norm,Pose_L_Elbow_y_shldr_norm,Pose_L_Elbow_z_shldr_norm,Pose_L_Elbow_vis_shldr_norm,Pose_L_Wrist_x_shldr_norm,Pose_L_Wrist_y_shldr_norm,Pose_L_Wrist_z_shldr_norm,Pose_L_Wrist_vis_shldr_norm,Hand_R_Wrist_x_shldr_norm,Hand_R_Wrist_y_shldr_norm,Hand_R_Wrist_z_shldr_norm,Hand_R_Thumb_CMC_x_shldr_norm,Hand_R_Thumb_CMC_y_shldr_norm,Hand_R_Thumb_CMC_z_shldr_norm,Hand_R_Thumb_MCP_x_shldr_norm,Hand_R_Thumb_MCP_y_shldr_norm,Hand_R_Thumb_MCP_z_shldr_norm,Hand_R_Thumb_IP_x_shldr_norm,Hand_R_Thumb_IP_y_shldr_norm,Hand_R_Thumb_IP_z_shldr_norm,Hand_R_Thumb_Tip_x_shldr_norm,Hand_R_Thumb_Tip_y_shldr_norm,Hand_R_Thumb_Tip_z_shldr_norm,Hand_R_Index_MCP_x_shldr_norm,Hand_R_Index_MCP_y_shldr_norm,Hand_R_Index_MCP_z_shldr_norm,Hand_R_Index_PIP_x_shldr_norm,Hand_R_Index_PIP_y_shldr_norm,Hand_R_Index_PIP_z_shldr_norm,Hand_R_Index_DIP_x_shldr_norm,Hand_R_Index_DIP_y_shldr_norm,Hand_R_Index_DIP_z_shldr_norm,Hand_R_Index_Tip_x_shldr_norm,Hand_R_Index_Tip_y_shldr_norm,Hand_R_Index_Tip_z_shldr_norm,Hand_R_Middle_MCP_x_shldr_norm,Hand_R_Middle_MCP_y_shldr_norm,Hand_R_Middle_MCP_z_shldr_norm,Hand_R_Middle_PIP_x_shldr_norm,Hand_R_Middle_PIP_y_shldr_norm,Hand_R_Middle_PIP_z_shldr_norm,Hand_R_Middle_DIP_x_shldr_norm,Hand_R_Middle_DIP_y_shldr_norm,Hand_R_Middle_DIP_z_shldr_norm,Hand_R_Middle_Tip_x_shldr_norm,Hand_R_Middle_Tip_y_shldr_norm,Hand_R_Middle_Tip_z_shldr_norm,Hand_R_Ring_MCP_x_shldr_norm,Hand_R_Ring_MCP_y_shldr_norm,Hand_R_Ring_MCP_z_shldr_norm,Hand_R_Ring_PIP_x_shldr_norm,Hand_R_Ring_PIP_y_shldr_norm,Hand_R_Ring_PIP_z_shldr_norm,Hand_R_Ring_DIP_x_shldr_norm,Hand_R_Ring_DIP_y_shldr_norm,Hand_R_Ring_DIP_z_shldr_norm,Hand_R_Ring_Tip_x_shldr_norm,Hand_R_Ring_Tip_y_shldr_norm,Hand_R_Ring_Tip_z_shldr_norm,Hand_R_Pinky_MCP_x_shldr_norm,Hand_R_Pinky_MCP_y_shldr_norm,Hand_R_Pinky_MCP_z_shldr_norm,Hand_R_Pinky_PIP_x_shldr_norm,Hand_R_Pinky_PIP_y_shldr_norm,Hand_R_Pinky_PIP_z_shldr_norm,Hand_R_Pinky_DIP_x_shldr_norm,Hand_R_Pinky_DIP_y_shldr_norm,Hand_R_Pinky_DIP_z_shldr_norm,Hand_R_Pinky_Tip_x_shldr_norm,Hand_R_Pinky_Tip_y_shldr_norm,Hand_R_Pinky_Tip_z_shldr_norm
eb5ff13ea7a04f08adb9c4dcce026082,1746300484.912575,5,Hand Close,52,91,55,30,39,36,202,201,-0.2716577367547175,-0.16349331309152146,-0.6499368809820774,-0.686523661888177,-0.2176990775633228,-0.229905229703961,3.9303849690303028,3.601751174781651,0.982177734375,-0.05126953125,0.1807861328125,-0.00103759765625,0.0,0.0,0.0,0.9999984502792358,0.03264433145523071,0.25004515051841736,-0.10113674402236938,0.9979628324508667,-0.002131223678588867,0.1807401478290558,-0.35876820981502533,0.9992282390594482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a09a4333baeb4794bc98a81b81b8f1a4,1746300484.913586,5,Hand Close,55,133,61,32,41,36,192,217,-0.22691143730598892,0.37684767852791096,-0.5651297502958914,-0.6517182417268258,-0.18423304691176245,-0.229905229703961,3.6783634089941835,3.9729309724933697,0.982177734375,-0.05126953125,0.1807861328125,-0.00103759765625,0.0,0.0,0.0,0.9999984502792358,0.03264433145523071,0.25004515051841736,-0.10113674402236938,0.9979628324508667,-0.002131223678588867,0.1807401478290558,-0.35876820981502533,0.9992282390594482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a419c77fa6944ea1b5c2101c5b2fc843,1746300484.920092,5,Hand Close,60,141,60,32,47,39,169,207,-0.152334271558108,0.4797697721697076,-0.5792642720769223,-0.6517182417268258,-0.08383495495708139,-0.18800760689944634,3.098713820911109,3.7409435989235456,0.982177734375,-0.05126953125,0.1807861328125,-0.00103759765625,0.0,0.0,0.0,0.9999984502792358,0.03264433145523071,0.25004515051841736,-0.10113674402236938,0.9979628324508667,-0.002131223678588867,0.1807401478290558,-0.35876820981502533,0.9992282390594482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5b38f761a54d40e6b6ebd0ee701a457f,1746300484.920092,5,Hand Close,65,151,75,34,52,43,249,213,-0.07775710581022709,0.6084223892219535,-0.36724644536145745,-0.6169128215654744,-0.00016987832818051362,-0.1321441098267602,5.114886301200064,3.88013602306544,0.982177734375,-0.05126953125,0.1807861328125,-0.00103759765625,0.0,0.0,0.0,0.9999984502792358,0.03264433145523071,0.25004515051841736,-0.10113674402236938,0.9979628324508667,-0.002131223678588867,0.1807401478290558,-0.35876820981502533,0.9992282390594482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3c5360d55d9840b0b3dd874bf4185d1f,1746300484.922092,5,Hand Close,63,145,71,35,51,41,251,203,-0.10758797210937945,0.531230818990606,-0.42378453248558146,-0.5995101114847988,-0.01690289365396069,-0.16007585836310326,5.165290613207288,3.648148649495616,0.982177734375,-0.05126953125,0.1807861328125,-0.00103759765625,0.0,0.0,0.0,0.9999985098838806,0.031119704246520996,0.25008779764175415,-0.10276421159505844,0.9980541467666626,-0.0033301711082458496,0.1783437728881836,-0.35875631123781204,0.9992709159851074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58ac9240421a45bfaf9d6f8b56cf62ce,1746300484.927025,5,Hand Close,67,145,64,36,53,39,252,265,-0.04792623951107472,0.531230818990606,-0.5227261849527984,-0.5821074014041232,0.016563136997599662,-0.18800760689944634,5.1904927692109,5.086470365628525,0.982177734375,-0.05126953125,0.1807861328125,-0.00103759765625,0.0,0.0,0.0,0.9999985098838806,0.031119704246520996,0.25008779764175415,-0.10276421159505844,0.9980541467666626,-0.0033301711082458496,0.1783437728881836,-0.35875631123781204,0.9992709159851074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dd9b2a399a364392bea2ca7495d8e5c5,1746300484.934568,5,Hand Close,65,107,58,31,51,36,251,258,-0.07775710581022709,0.042350874192071855,-0.6075333156389844,-0.6691209518075014,-0.01690289365396069,-0.229905229703961,5.165290613207288,4.924079204129648,0.982177734375,-0.05126953125,0.1807861328125,-0.00103759765625,0.0,0.0,0.0,0.9999985098838806,0.031119704246520996,0.25008779764175415,-0.10276421159505844,0.9980541467666626,-0.0033301711082458496,0.1783437728881836,-0.35875631123781204,0.9992709159851074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57494e32f93a4cfea19a57ebb771fc7f,1746300484.935568,5,Hand Close,64,96,57,31,43,39,295,247,-0.09267253895980328,-0.09916700456539855,-0.6216678374200153,-0.6691209518075014,-0.1507670162602021,-0.18800760689944634,6.274185477366213,4.668893093202842,0.97882080078125,-0.03375244140625,0.20166015625,-0.0001220703125,0.0,0.0,0.0,0.9999985098838806,0.031119704246520996,0.25008779764175415,-0.10276421159505844,0.9980541467666626,-0.0033301711082458496,0.1783437728881836,-0.35875631123781204,0.9992709159851074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3dd9829ee444d44ab434c1ceb8ebc26,1746300484.936568,5,Hand Close,62,79,47,32,44,35,225,223,-0.12250340525895564,-0.31787645355421645,-0.7630130552303253,-0.6517182417268258,-0.13403400093442192,-0.24387110397213252,4.510034557113378,4.112123396635265,0.97882080078125,-0.03375244140625,0.20166015625,-0.0001220703125,0.0,0.0,0.0,0.9999985098838806,0.031119704246520996,0.25008779764175415,-0.10276421159505844,0.9980541467666626,-0.0033301711082458496,0.1783437728881836,-0.35875631123781204,0.9992709159851074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aca3276187414f499e1f0dfac6650a7f,1746300484.937567,5,Hand Close,65,74,49,32,44,38,232,252,-0.07775710581022709,-0.3822027620803394,-0.7347440116682633,-0.6517182417268258,-0.13403400093442192,-0.2019734811676179,4.686449649138661,4.784886779987754,0.97882080078125,-0.03375244140625,0.20166015625,-0.0001220703125,0.0,0.0,0.0,0.9999985098838806,0.031119704246520996,0.25008779764175415,-0.10276421159505844,0.9980541467666626,-0.0033301711082458496,0.1783437728881836,-0.35875631123781204,0.9992709159851074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
