id,time,gesture_id,gesture_name,s1,s2,s3,s4,s5,s6,s7,s8,quat_w,quat_x,quat_y,quat_z
58cd7edcc9ff4a17ac372a7ba328932b,1745881917.923321,0,Rest,320,214,81,41,38,26,26,69,0.8756103515625,0.4541015625,-0.15313720703125,-0.0599365234375
8488659f4a5c4c039d532d33c87caa1f,1745881917.945814,0,Rest,347,217,81,36,36,28,31,115,0.8756103515625,0.4541015625,-0.15313720703125,-0.0599365234375
faa7d5aa9e6744989d36d36e9c268fbb,1745881917.961225,0,Rest,224,131,55,37,35,27,28,116,0.87567138671875,0.45404052734375,-0.153076171875,-0.0599365234375
659b5413dd6848d3ba3b2439c8f4d382,1745881917.982855,0,Rest,207,114,51,35,31,27,31,122,0.87567138671875,0.45391845703125,-0.1531982421875,-0.0596923828125
8c6da74fa26a41c9a72ff6b45bc13001,1745881918.005821,0,Rest,182,100,45,37,30,27,30,118,0.87567138671875,0.4539794921875,-0.15338134765625,-0.059326171875
3dfbf9828f904eb7aeb509c074bc127b,1745881918.020351,0,Rest,182,85,41,34,31,28,32,122,0.8756103515625,0.4541015625,-0.1534423828125,-0.05914306640625
16c42dd20d9143709e73cfa3dd4a3b8f,1745881918.043485,0,Rest,136,75,41,41,31,29,36,85,0.87567138671875,0.45404052734375,-0.1531982421875,-0.05908203125
2edb88d3a24c4482bb1b73acb286c191,1745881918.065458,0,Rest,143,77,45,40,31,29,35,81,0.875732421875,0.4539794921875,-0.153076171875,-0.058837890625
3c5a68ec4e0e4156860560f9a519c73d,1745881918.081237,0,Rest,137,73,42,43,35,29,35,81,0.875732421875,0.4541015625,-0.15301513671875,-0.05853271484375
062bd04bb7534727b271daa1d939f2c3,1745881918.103117,0,Rest,141,79,41,39,35,27,35,94,0.8756103515625,0.45428466796875,-0.1529541015625,-0.0584716796875
33d7356ea49d4f21bbea929a463d2f04,1745881918.125668,0,Rest,165,82,50,42,36,28,36,91,0.8756103515625,0.45428466796875,-0.15289306640625,-0.0584716796875
8415f7b5a48e4f699cce34d72b4d8d13,1745881918.141237,0,Rest,163,93,54,39,40,25,28,87,0.8756103515625,0.45428466796875,-0.15289306640625,-0.0584716796875
2a0b74cfa521416290de5af2cae9fe8f,1745881918.164111,0,Rest,160,116,62,41,44,26,28,91,0.87567138671875,0.45428466796875,-0.15289306640625,-0.0584716796875
55d6c5cef4f94e4c9e93dc720efaaba7,1745881918.186116,0,Rest,153,117,65,39,42,25,28,102,0.87567138671875,0.4542236328125,-0.15301513671875,-0.05841064453125
411e1ff4aa2f462c82c2f35b2af0dd35,1745881918.200448,0,Rest,155,117,67,44,44,26,29,91,0.87567138671875,0.4542236328125,-0.153076171875,-0.05841064453125
8f9a635ab9fd4bf99855a501d296c99e,1745881918.223314,0,Rest,217,165,69,44,43,26,30,92,0.87567138671875,0.45416259765625,-0.15301513671875,-0.05841064453125
5a03f9b06eb643aab302236a57092f97,1745881918.246089,0,Rest,230,157,64,41,41,27,31,93,0.875732421875,0.45416259765625,-0.15301513671875,-0.05841064453125
cdfbbc8fd07f467da87301b313bebe3b,1745881918.261195,0,Rest,228,134,53,37,38,27,35,106,0.87567138671875,0.4542236328125,-0.1531982421875,-0.058349609375
96c1659aad714d1eb2f3c39f29fbb7ef,1745881918.28372,0,Rest,234,134,53,38,36,27,34,90,0.87554931640625,0.45440673828125,-0.15325927734375,-0.05841064453125
bbe7216a58164c46b0d5e85c3972b3cf,1745881918.30582,0,Rest,234,143,58,42,43,29,35,94,0.87542724609375,0.45458984375,-0.15325927734375,-0.05841064453125
